date,shift_group,alignment_variable,n_valid,optimal_shift_s,peak_r,peak_r_raw,zero_lag_r,peak_margin,second_peak_r,monotonic_halfwidth_s,left_halfwidth_s,right_halfwidth_s,concavity_fraction,decision,reason,n_vars_shifted
2022-06-11,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,24393,-2.0,0.1684,0.1881,0.1616,0.0492,0.1192,25.0,28.0,25.0,0.6667,SKIP,peak_r<0.2,0
2022-06-13,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,22148,-1.0,0.1588,0.1595,0.1588,0.0026,0.1562,29.0,29.0,31.0,1.0,SKIP,peak_r<0.2,0
2022-06-13,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,118,17.0,0.2754,0.3051,-0.1373,0.1034,0.1719,13.0,23.0,13.0,0.4762,SKIP,n_valid=118<300,0
2022-06-13,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,29431,14.0,0.2962,0.3348,0.1331,0.0659,0.2303,16.0,44.0,16.0,0.5714,SHIFT,,2
2022-06-13,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,24198,-5.0,0.1264,0.1332,0.1084,0.0191,0.1073,25.0,25.0,35.0,0.9524,SKIP,peak_r<0.2,0
2022-06-14,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,8773,-30.0,-0.1699,-0.1671,-0.1957,0.0022,-0.1721,0.0,0.0,28.0,0.5455,SKIP,peak_r<0.2; monotonic_halfwidth_s<5,0
2022-06-14,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,611,30.0,-0.0943,-0.0846,-0.1627,0.0154,-0.1097,0.0,27.0,0.0,0.5455,SKIP,peak_r<0.2; monotonic_halfwidth_s<5,0
2022-06-14,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,10849,13.0,0.5193,0.5869,0.1175,0.165,0.3542,17.0,31.0,17.0,0.5714,SHIFT,,2
2022-06-14,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,11714,-1.0,0.5954,0.6407,0.587,0.139,0.4564,29.0,29.0,31.0,0.7143,SHIFT,,20
2022-06-17,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,10784,7.0,-0.0826,-0.0819,-0.0874,0.0016,-0.0842,23.0,37.0,23.0,1.0,SKIP,peak_r<0.2,0
2022-06-17,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,259,-13.0,0.016,0.039,-0.1489,0.058,-0.042,17.0,17.0,22.0,0.6667,SKIP,n_valid=259<300; peak_r<0.2,0
2022-06-17,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,12162,12.0,0.2747,0.2848,0.2438,0.0221,0.2526,10.0,10.0,18.0,0.4286,SHIFT,,2
2022-06-17,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,12692,-19.0,0.3314,0.3433,0.1889,0.0319,0.2995,11.0,11.0,44.0,0.5714,SHIFT,,20
2022-06-18,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,9739,1.0,0.5173,0.5176,0.5173,0.001,0.5163,29.0,31.0,29.0,1.0,SHIFT,,14
2022-06-18,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,175,-24.0,0.665,0.6644,0.1888,0.0029,0.6621,5.0,5.0,39.0,0.7059,SKIP,n_valid=175<300,0
2022-06-18,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,10698,15.0,0.7988,0.8037,0.762,0.0123,0.7865,15.0,24.0,15.0,0.619,SHIFT,,2
2022-06-18,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,11274,-2.0,0.4303,0.4368,0.4274,0.0193,0.411,18.0,18.0,26.0,0.8095,SHIFT,,20
